name,height_m,height_ft,grid_ref,grid_ref_xy,xcoord,ycoord,munro_id
Creise,1099.8,3608,NN238506,NN 23854 50645,223854,750645,70
Meall a' Bhuiridh,1107.9,3635,NN250503,NN 25063 50346,225063,750346,71
Ben Nevis,1344.53,4411,NN166712,NN 16666 71288,216666,771288,72
Aonach Beag,1234,4049,NN197715,NN 19707 71502,219707,771502,73
Aonach Mor,1220.4,4004,NN193729,NN 19306 72962,219306,772962,74
Carn Mor Dearg,1220,4003,NN177721,NN 17748 72172,217748,772172,75
Sgurr Choinnich Mor,1094,3589,NN227714,NN 22771 71419,222771,771419,76
Stob Coire an Laoigh,1116,3661,NN239725,NN 23984 72532,223984,772532,77
Stob Choire Claurigh,1177,3862,NN261738,NN 26196 73878,226196,773878,78
Stob Ban,977,3205,NN266723,NN 26669 72395,226669,772395,79
Stob Coire Easain,1115,3658,NN308730,NN 30802 73066,230802,773066,80
Stob a' Choire Mheadhoin,1105,3625,NN316736,NN 31652 73643,231652,773643,81
Sgurr Eilde Mor,1010,3314,NN230657,NN 23054 65788,223054,765788,82
Binnein Beag,943,3094,NN221677,NN 22173 67714,222173,767714,83
Binnein Mor,1130,3707,NN212663,NN 21219 66352,221219,766352,84
Na Gruagaichean,1054.3,3459,NN203652,NN 20307 65200,220307,765200,85
An Gearanach,981.5,3220,NN187669,NN 18770 66992,218770,766992,86
Stob Coire a' Chairn,981.3,3219,NN185660,NN 18561 66063,218561,766063,87
Am Bodach,1031.8,3385,NN176650,NN 17637 65097,217637,765097,88
Sgurr a' Mhaim,1099,3606,NN164667,NN 16465 66730,216465,766730,89
Stob Ban,999.7,3280,NN147654,NN 14777 65443,214777,765443,90
Mullach nan Coirean,939.3,3082,NN122662,NN 12233 66243,212233,766243,91
Stob Coire Sgriodain,979,3212,NN356743,NN 35669 74381,235669,774381,92
Chno Dearg,1046,3432,NN377741,NN 37741 74115,237741,774115,93
Beinn na Lap,935,3068,NN376695,NN 37616 69585,237616,769585,94
Carn Dearg,941,3087,NN417661,NN 41773 66143,241773,766143,95
Sgor Gaibhre,955,3133,NN444674,NN 44477 67448,244477,767448,96
Beinn Eibhinn,1103.3,3620,NN449733,NN 44965 73302,244965,773302,97
Aonach Beag,1115.8,3661,NN457741,NN 45786 74190,245786,774190,98
Geal-Charn,1132,3714,NN469746,NN 46992 74629,246992,774629,99
Carn Dearg,1034,3392,NN504764,NN 50416 76444,250416,776444,100
Beinn a' Chlachair,1087,3566,NN471781,NN 47122 78155,247122,778155,101
Creag Pitridh,924,3031,NN487814,NN 48752 81459,248752,781459,102
Geal Charn,1049,3442,NN504811,NN 50432 81181,250432,781181,103
Ben Alder,1148,3766,NN496718,NN 49616 71855,249616,771855,104
Beinn Bheoil,1019,3343,NN517717,NN 51716 71722,251716,771722,105
Beinn Udlamain,1010.2,3314,NN579739,NN 57945 73975,257945,773975,106
Sgairneach Mhor,991,3251,NN598731,NN 59882 73130,259882,773130,107
A' Mharconaich,973.2,3193,NN604762,NN 60423 76293,260423,776293,108
Geal-charn,917.1,3009,NN596782,NN 59644 78261,259644,778261,109
Meall Chuaich,951,3120,NN716878,NN 71648 87834,271648,787834,110
Carn na Caim,940.8,3087,NN677821,NN 67700 82153,267700,782153,111
A' Bhuidheanach Bheag,936.1,3071,NN660775,NN 66059 77594,266059,777594,112
Beinn Dearg,1008.7,3309,NN852778,NN 85296 77800,285296,777800,113
An Sgarsoch,1006.5,3302,NN933836,NN 93339 83685,293339,783685,114
Carn an Fhidhleir [Carn Ealar],994,3261,NN904841,NN 90476 84195,290476,784195,115
Carn a' Chlamain,963.5,3161,NN915758,NN 91591 75807,291591,775807,116
Carn nan Gabhar (Beinn a' Ghlo),1121.9,3681,NN971733,NN 97116 73314,297116,773314,117
Braigh Coire Chruinn-bhalgain (Beinn a' Ghlo),1070,3510,NN945724,NN 94563 72403,294563,772403,118
Carn Liath (Beinn a' Ghlo),976,3202,NN936698,NN 93607 69830,293607,769830,119
Glas Tulaichean,1051,3448,NO051760,NO 05105 76011,305105,776011,120
Carn an Righ,1029,3376,NO028772,NO 02871 77268,302871,777268,121
Beinn Iutharn Mhor,1045,3428,NO045792,NO 04566 79279,304566,779279,122
Carn Bhac,945.1,3101,NO051832,NO 05104 83225,305104,783225,123
An Socach,944,3097,NO079800,NO 07938 80016,307938,780016,124
Carn a' Gheoidh,975,3199,NO107767,NO 10703 76700,310703,776700,125
The Cairnwell,933,3061,NO134773,NO 13486 77360,313486,777360,126
Carn Aosda,915.3,3003,NO133791,NO 13397 79164,313397,779164,127
Cac Carn Beag (Lochnagar),1155.7,3792,NO243861,NO 24372 86140,324372,786140,128
Carn a' Choire Bhoidheach,1109.9,3641,NO226845,NO 22673 84557,322673,784557,129
Carn an t-Sagairt Mor,1047,3435,NO208842,NO 20810 84280,320810,784280,130
Glas Maol,1068,3504,NO166765,NO 16699 76576,316699,776576,131
Creag Leacach,988.2,3242,NO154745,NO 15468 74548,315468,774548,132
Cairn of Claise,1064,3491,NO185788,NO 18549 78890,318549,778890,133
Carn an Tuirc,1019,3343,NO174804,NO 17454 80482,317454,780482,134
Tom Buidhe,957,3140,NO213787,NO 21367 78774,321367,778774,135
Tolmount,958,3143,NO210800,NO 21051 80018,321051,780018,136
Cairn Bannoch,1012,3320,NO222825,NO 22288 82555,322288,782555,137
Broad Cairn,998,3274,NO240815,NO 24056 81567,324056,781567,138
Mayar,928,3045,NO240737,NO 24083 73748,324083,773748,139
Driesh,947,3107,NO271735,NO 27116 73588,327116,773588,140
Mount Keen,939,3081,NO409869,NO 40905 86927,340905,786927,141
Mullach Clach a' Bhlair,1019,3343,NN882927,NN 88285 92702,288285,792702,142
Sgor Gaoith,1118,3668,NN903989,NN 90300 98961,290300,798961,143
Braeriach,1296,4252,NN953999,NN 95328 99916,295328,799916,144
Sgor an Lochain Uaine,1258,4127,NN954976,NN 95422 97693,295422,797693,145
Cairn Toul,1291,4236,NN963972,NN 96328 97229,296328,797229,146
The Devil's Point,1006.9,3303,NN976951,NN 97609 95115,297609,795115,147
Monadh Mor,1113,3652,NN938942,NN 93866 94217,293866,794217,148
